timestamp,response,emotion0,value0,emotion1,value1
2013-04-23 05:00:18.412325+00,shocked,disgust,0.579113281914033,surprise,0.376415220182389
2013-04-23 05:00:25.963312+00,angry,anger,0.9255158593818520,joy,0.5802298403881180
2013-04-23 05:00:47.054194+00,shocked,sadness,0.353136477409862,surprise,0.8620476660551500
2013-04-23 05:01:03.44741+00,Happiness,joy,0.9103362341411410,,
2013-04-23 05:01:22.782331+00,Shock,fear,0.8187855819938700,,
2013-04-23 05:01:40.002571+00,Worry,fear,0.3345256364904340,fear,0.41929504135623600
2013-04-23 05:01:53.079816+00,Sadness,sadness,0.5526684596901760,,
2013-04-23 05:02:31.850885+00,Fear,fear,0.9704501334563150,joy,0.44284804875194800
2013-04-23 05:02:44.57868+00,Sternness,joy,0.6605739132077970,anger,0.7094556875693870
2013-04-23 05:02:59.366178+00,Insecurity,fear,0.45447079421580500,disgust,0.9973507300454290
2013-04-23 05:03:04.98198+00,Surprise,surprise,0.6484472573036330,,
2013-04-23 05:03:10.272204+00,Weirded out ness,disgust,0.7440851283507600,fear,0.5232210532087090
2013-04-23 05:03:18.381739+00,Contentedness,joy,0.44564172876753600,joy,0.838605347312879
2013-04-23 05:03:27.376091+00,Anxiety,surprise,0.45569899945985500,,
2013-04-23 05:03:40.709291+00,I don't know,anger,0.5553017734542620,,
2013-04-23 05:03:48.068783+00,dead deer on the side of the road,sadness,0.7831087128259240,fear,0.7438520265044640
2013-04-23 05:03:57.904399+00,Sympathetic,sadness,0.9311671050498260,,
2013-04-23 05:04:03.374726+00,sad,sadness,0.5776812960859390,sadness,0.44913096190430200
2013-04-23 05:04:08.288247+00,anger,surprise,0.36600521176587800,anger,0.5971318682888520
2013-04-23 05:04:14.943684+00,Concern,fear,0.38121549475472400,,
2013-04-23 05:04:19.220443+00,Sad,sadness,0.8387095970567320,,
2013-04-23 05:04:24.972958+00,Concern,fear,0.45481338954996300,,
2013-04-23 05:04:29.650358+00,Disgust,disgust,0.7429843383608390,,
2013-04-23 05:04:44.522519+00,Disgust,disgust,0.8169141029939060,,
2013-04-23 05:04:51.949029+00,Calm,joy,0.43303860994055900,,
2013-04-23 05:05:01.131118+00,Joy,joy,0.8356252426980060,,
2013-04-23 05:05:09.110284+00,Anger,anger,0.8736397349275650,,
2013-04-23 05:05:25.43391+00,Fury,anger,0.915989188873209,,
2013-04-23 05:05:35.274257+00,Concern,fear,0.3299961635842920,,
2013-04-23 05:06:07.864714+00,can't decide if hungry or bored,disgust,0.31748277540318700,,
2013-04-23 05:06:24.981935+00,think of the children!,sadness,0.8430435810470950,joy,0.8859641239512710
2013-04-23 05:06:36.112955+00,uhhhhh,anger,0.5295281864469870,sadness,0.4940053166588770
2013-04-23 05:06:58.428783+00,anger,anger,0.9810991828097030,,
2013-04-23 05:07:06.984404+00,Earnestness,disgust,0.84775076713413,joy,0.5328802908072250
2013-04-23 05:07:31.006039+00,stunned,fear,0.6690298093482850,,
2013-04-23 05:07:43.781714+00,concerned,joy,0.32559740962460600,fear,0.5675101501867180
2013-04-23 05:07:58.856364+00,Not sure,anger,0.4045434455387290,,
2013-04-23 05:08:44.190031+00,stunned sadness,fear,0.30284219146706200,fear,0.8555407101986930
2013-04-23 05:08:53.676685+00,rapt attention,surprise,0.8078858270309870,,
2013-04-23 05:09:02.154185+00,shock,fear,0.595624619256705,surprise,0.7932089733658360
2013-04-23 05:09:12.571223+00,aghast,anger,0.3344690853497010,surprise,0.6177913144929340
